iquitos_persiann, 3.875S, 73.375W, precipitation_amount,
1990,9,19,0, 
1990,9,20,5.19, 
1990,9,21,2, 
1990,9,22,1.93, 
1990,9,23,9.04, 
1990,9,24,2.38, 
1990,9,25,0, 
1990,9,26,0, 
1990,9,27,0, 
1990,9,28,0, 
1990,9,29,0.8, 
1990,9,30,-9999, 
1990,10,1,17.08, 
1990,10,2,5.61, 
1990,10,3,1.24, 
1990,10,4,3.97, 
1990,10,5,0.48, 
1990,10,6,1.32, 
1990,10,7,4.55, 
1990,10,8,7.4, 
1990,10,9,2.41, 
1990,10,10,13.61, 
1990,10,11,4.09, 
1990,10,12,5.11, 
1990,10,13,2.87, 
1990,10,14,10.82, 
1990,10,15,0.51, 
1990,10,16,7.22, 
1990,10,17,8.33, 
1990,10,18,8.8, 
1990,10,19,6.11, 
1990,10,20,16.95, 
1990,10,21,0.45, 
1990,10,22,8.58, 
1990,10,23,2.75, 
1990,10,24,6.84, 
1990,10,25,1.19, 
1990,10,26,2.17, 
1990,10,27,2.79, 
1990,10,28,0, 
1990,10,29,7.61, 
1990,10,30,29.27, 
1990,10,31,-9999, 
1990,11,1,-9999, 
1990,11,2,-9999, 
1990,11,3,-9999, 
1990,11,4,-9999, 
1990,11,5,7.58, 
1990,11,6,13.88, 
1990,11,7,6.71, 
1990,11,8,14.73, 
1990,11,9,10.33, 
1990,11,10,3.11, 
1990,11,11,9.07, 
1990,11,12,0, 
1990,11,13,10.06, 
1990,11,14,10.4, 
1990,11,15,18.59, 
1990,11,16,4.23, 
1990,11,17,0, 
1990,11,18,2.66, 
1990,11,19,9.98, 
1990,11,20,3.57, 
1990,11,21,0.4, 
1990,11,22,0.83, 
1990,11,23,23.5, 
1990,11,24,15.75, 
1990,11,25,0.48, 
1990,11,26,11.95, 
1990,11,27,13.32, 
1990,11,28,3.94, 
1990,11,29,7.54, 
1990,11,30,6.98, 
1990,12,1,3.24, 
1990,12,2,13.65, 
1990,12,3,16.12, 
1990,12,4,26.3, 
1990,12,5,9.6, 
1990,12,6,33.09, 
1990,12,7,0, 
1990,12,8,3.04, 
1990,12,9,4.96, 
1990,12,10,7.9, 
1990,12,11,0, 
1990,12,12,-9999, 
1990,12,13,11.41, 
1990,12,14,19.85, 
1990,12,15,8.63, 
1990,12,16,11.1, 
1990,12,17,3.17, 
1990,12,18,1.4, 
1990,12,19,2.58, 
1990,12,20,5.47, 
1990,12,21,0, 
1990,12,22,0.75, 
1990,12,23,4.44, 
1990,12,24,14.09, 
1990,12,25,16.79, 
1990,12,26,0.7, 
1990,12,27,6.52, 
1990,12,28,1, 
1990,12,29,20.67, 
1990,12,30,31.69, 
1990,12,31,0.44, 
1991,1,1,0, 
1991,1,2,0, 
1991,1,3,2.33, 
1991,1,4,14.2, 
1991,1,5,52.36, 
1991,1,6,4.72, 
1991,1,7,9.46, 
1991,1,8,8.27, 
1991,1,9,35.34, 
1991,1,10,23.21, 
1991,1,11,17.87, 
1991,1,12,1.79, 
1991,1,13,0, 
1991,1,14,0, 
1991,1,15,0, 
1991,1,16,0, 
1991,1,17,0, 
1991,1,18,0, 
1991,1,19,0.99, 
1991,1,20,0, 
1991,1,21,7.75, 
1991,1,22,14.9, 
1991,1,23,-9999, 
1991,1,24,-9999, 
1991,1,25,0, 
1991,1,26,0.46, 
1991,1,27,0.98, 
1991,1,28,18.76, 
1991,1,29,17.85, 
1991,1,30,3.59, 
1991,1,31,0.87, 
1991,2,1,6.06, 
1991,2,2,2.15, 
1991,2,3,0, 
1991,2,4,0, 
1991,2,5,0.48, 
1991,2,6,1.93, 
1991,2,7,13.33, 
1991,2,8,0, 
1991,2,9,2.41, 
1991,2,10,6.42, 
1991,2,11,27.32, 
1991,2,12,79.81, 
1991,2,13,4.77, 
1991,2,14,8.96, 
1991,2,15,18.34, 
1991,2,16,54.56, 
1991,2,17,0.75, 
1991,2,18,2.54, 
1991,2,19,3.8, 
1991,2,20,0, 
1991,2,21,5.35, 
1991,2,22,3.37, 
1991,2,23,7.92, 
1991,2,24,0, 
1991,2,25,4.56, 
1991,2,26,0.49, 
1991,2,27,6.79, 
1991,2,28,22.78, 
1991,3,1,6.71, 
1991,3,2,1.79, 
1991,3,3,9.16, 
1991,3,4,18.31, 
1991,3,5,26.17, 
1991,3,6,3.28, 
1991,3,7,0.39, 
1991,3,8,17.58, 
1991,3,9,19.58, 
1991,3,10,6.2, 
1991,3,11,9.98, 
1991,3,12,15, 
1991,3,13,1.6, 
1991,3,14,17.44, 
1991,3,15,3.87, 
1991,3,16,17.54, 
1991,3,17,4.38, 
1991,3,18,2.21, 
1991,3,19,15.35, 
1991,3,20,9.89, 
1991,3,21,2.44, 
1991,3,22,12.71, 
1991,3,23,2.27, 
1991,3,24,2.17, 
1991,3,25,1.44, 
1991,3,26,29.2, 
1991,3,27,3.09, 
1991,3,28,1.4, 
1991,3,29,0.86, 
1991,3,30,0, 
1991,3,31,12.23, 
1991,4,1,9.81, 
1991,4,2,3.99, 
1991,4,3,31, 
1991,4,4,9.04, 
1991,4,5,32.46, 
1991,4,6,0, 
1991,4,7,0.77, 
1991,4,8,25.37, 
1991,4,9,14, 
1991,4,10,2.01, 
1991,4,11,5.68, 
1991,4,12,8.07, 
1991,4,13,7.04, 
1991,4,14,13.8, 
1991,4,15,18.26, 
1991,4,16,30.85, 
1991,4,17,6.85, 
1991,4,18,3.15, 
1991,4,19,2.33, 
1991,4,20,14.43, 
1991,4,21,0, 
1991,4,22,0, 
1991,4,23,0, 
1991,4,24,6.98, 
1991,4,25,26.65, 
1991,4,26,1.17, 
1991,4,27,6.62, 
1991,4,28,13.66, 
1991,4,29,22.39, 
1991,4,30,2.86, 
1991,5,1,0, 
1991,5,2,4.75, 
1991,5,3,4.34, 
1991,5,4,34.06, 
1991,5,5,19.48, 
1991,5,6,13.62, 
1991,5,7,4.52, 
1991,5,8,1.85, 
1991,5,9,2.13, 
1991,5,10,5.53, 
1991,5,11,0.98, 
1991,5,12,1.41, 
1991,5,13,0, 
1991,5,14,0, 
1991,5,15,5.41, 
1991,5,16,16.86, 
1991,5,17,1.85, 
1991,5,18,39.85, 
1991,5,19,2.51, 
1991,5,20,0.7, 
1991,5,21,4.75, 
1991,5,22,45.93, 
1991,5,23,13.78, 
1991,5,24,1.34, 
1991,5,25,0, 
1991,5,26,0, 
1991,5,27,1.44, 
1991,5,28,12.15, 
1991,5,29,21.88, 
1991,5,30,3.39, 
1991,5,31,6.47, 
1991,6,1,5.09, 
1991,6,2,2.34, 
1991,6,3,9.2, 
1991,6,4,0, 
1991,6,5,37.64, 
1991,6,6,3.79, 
1991,6,7,34.36, 
1991,6,8,3.3, 
1991,6,9,0.68, 
1991,6,10,0, 
1991,6,11,0, 
1991,6,12,0, 
1991,6,13,0, 
1991,6,14,0, 
1991,6,15,1.78, 
1991,6,16,0, 
1991,6,17,3.82, 
1991,6,18,1.59, 
1991,6,19,1.17, 
1991,6,20,10.79, 
1991,6,21,0, 
1991,6,22,12.15, 
1991,6,23,6.65, 
1991,6,24,0.87, 
1991,6,25,5.44, 
1991,6,26,0, 
1991,6,27,0, 
1991,6,28,28.76, 
1991,6,29,25.96, 
1991,6,30,4.9, 
1991,7,1,0, 
1991,7,2,0, 
1991,7,3,0, 
1991,7,4,0, 
1991,7,5,0, 
1991,7,6,0, 
1991,7,7,0, 
1991,7,8,22.32, 
1991,7,9,8.17, 
1991,7,10,-9999, 
1991,7,11,5.02, 
1991,7,12,11.43, 
1991,7,13,13.17, 
1991,7,14,35.27, 
1991,7,15,0, 
1991,7,16,0, 
1991,7,17,0, 
1991,7,18,0, 
1991,7,19,0, 
1991,7,20,1.74, 
1991,7,21,0, 
1991,7,22,0, 
1991,7,23,0, 
1991,7,24,0, 
1991,7,25,0, 
1991,7,26,0, 
1991,7,27,0, 
1991,7,28,1.91, 
1991,7,29,0, 
1991,7,30,24.8, 
1991,7,31,4.44, 
1991,8,1,6.84, 
1991,8,2,8.1, 
1991,8,3,18.58, 
1991,8,4,0, 
1991,8,5,0, 
1991,8,6,0, 
1991,8,7,0, 
1991,8,8,0, 
1991,8,9,0, 
1991,8,10,4.28, 
1991,8,11,0, 
1991,8,12,13.48, 
1991,8,13,55.51, 
1991,8,14,0, 
1991,8,15,0, 
1991,8,16,0, 
1991,8,17,1.69, 
1991,8,18,1.25, 
1991,8,19,0, 
1991,8,20,0, 
1991,8,21,2.26, 
1991,8,22,0, 
1991,8,23,0, 
1991,8,24,0, 
1991,8,25,0, 
1991,8,26,0, 
1991,8,27,2.67, 
1991,8,28,9.08, 
1991,8,29,2.41, 
1991,8,30,17.31, 
1991,8,31,21.22, 
1991,9,1,2.13, 
1991,9,2,0.7, 
1991,9,3,0, 
1991,9,4,1.8, 
1991,9,5,1.19, 
1991,9,6,5.24, 
1991,9,7,16.4, 
1991,9,8,1.64, 
1991,9,9,6.17, 
1991,9,10,0, 
1991,9,11,0, 
1991,9,12,0.53, 
1991,9,13,4.06, 
1991,9,14,0, 
1991,9,15,0.94, 
1991,9,16,4.25, 
1991,9,17,3.06, 
1991,9,18,7.01, 
1991,9,19,19.13, 
1991,9,20,16.55, 
1991,9,21,0, 
1991,9,22,0, 
1991,9,23,5.45, 
1991,9,24,2.87, 
1991,9,25,9.82, 
1991,9,26,13.44, 
1991,9,27,16.47, 
1991,9,28,10.08, 
1991,9,29,8.79, 
1991,9,30,2.44, 
1991,10,1,31.3, 
1991,10,2,13.75, 
1991,10,3,24.11, 
1991,10,4,0, 
1991,10,5,0.47, 
1991,10,6,0, 
1991,10,7,4.37, 
1991,10,8,34.15, 
1991,10,9,1.19, 
1991,10,10,2.6, 
1991,10,11,0, 
1991,10,12,3.15, 
1991,10,13,0, 
1991,10,14,0, 
1991,10,15,0, 
1991,10,16,2.93, 
1991,10,17,35.78, 
1991,10,18,16.05, 
1991,10,19,0.58, 
1991,10,20,3.23, 
1991,10,21,1, 
1991,10,22,7.21, 
1991,10,23,0, 
1991,10,24,4.24, 
1991,10,25,1.18, 
1991,10,26,23.12, 
1991,10,27,5.32, 
1991,10,28,2.41, 
1991,10,29,0, 
1991,10,30,0.43, 
1991,10,31,0.51, 
1991,11,1,0.74, 
1991,11,2,3.45, 
1991,11,3,9.64, 
1991,11,4,8.21, 
1991,11,5,8.77, 
1991,11,6,19.97, 
1991,11,7,3.98, 
1991,11,8,32.99, 
1991,11,9,1.63, 
1991,11,10,2.06, 
1991,11,11,1.34, 
1991,11,12,0.59, 
1991,11,13,2.56, 
1991,11,14,38.85, 
1991,11,15,14.14, 
1991,11,16,10.48, 
1991,11,17,5.05, 
1991,11,18,2.31, 
1991,11,19,12.56, 
1991,11,20,1.83, 
1991,11,21,13.42, 
1991,11,22,0.68, 
1991,11,23,0, 
1991,11,24,0.37, 
1991,11,25,36.59, 
1991,11,26,3.01, 
1991,11,27,-9999, 
1991,11,28,-9999, 
1991,11,29,0, 
1991,11,30,0, 
1991,12,1,0.43, 
1991,12,2,1.62, 
1991,12,3,0, 
1991,12,4,0, 
1991,12,5,0, 
1991,12,6,0, 
1991,12,7,3.01, 
1991,12,8,4.62, 
1991,12,9,1.71, 
1991,12,10,0, 
1991,12,11,0, 
1991,12,12,7.69, 
1991,12,13,12.45, 
1991,12,14,6.06, 
1991,12,15,12.23, 
1991,12,16,18.25, 
1991,12,17,6.3, 
1991,12,18,0.66, 
1991,12,19,18.12, 
1991,12,20,6.03, 
1991,12,21,2.46, 
1991,12,22,1.83, 
1991,12,23,0.3, 
1991,12,24,0, 
1991,12,25,3.2, 
1991,12,26,10.8, 
1991,12,27,5.56, 
1991,12,28,0.73, 
1991,12,29,18.5, 
1991,12,30,4.23, 
1991,12,31,9.32, 
1992,1,1,0, 
1992,1,2,4.33, 
1992,1,3,0, 
1992,1,4,42.49, 
1992,1,5,1.68, 
1992,1,6,22.13, 
1992,1,7,0, 
1992,1,8,1.16, 
1992,1,9,3.82, 
1992,1,10,0, 
1992,1,11,0, 
1992,1,12,0, 
1992,1,13,0, 
1992,1,14,0, 
1992,1,15,0.69, 
1992,1,16,0, 
1992,1,17,27.61, 
1992,1,18,7.79, 
1992,1,19,0, 
1992,1,20,1.74, 
1992,1,21,13.35, 
1992,1,22,0, 
1992,1,23,0, 
1992,1,24,2, 
1992,1,25,0, 
1992,1,26,0.77, 
1992,1,27,2.66, 
1992,1,28,0, 
1992,1,29,0, 
1992,1,30,0, 
1992,1,31,7.94, 
1992,2,1,-9999, 
1992,2,2,-9999, 
1992,2,3,-9999, 
1992,2,4,-9999, 
1992,2,5,-9999, 
1992,2,6,-9999, 
1992,2,7,-9999, 
1992,2,8,-9999, 
1992,2,9,-9999, 
1992,2,10,-9999, 
1992,2,11,-9999, 
1992,2,12,-9999, 
1992,2,13,-9999, 
1992,2,14,-9999, 
1992,2,15,-9999, 
1992,2,16,-9999, 
1992,2,17,-9999, 
1992,2,18,-9999, 
1992,2,19,-9999, 
1992,2,20,-9999, 
1992,2,21,-9999, 
1992,2,22,-9999, 
1992,2,23,-9999, 
1992,2,24,-9999, 
1992,2,25,-9999, 
1992,2,26,-9999, 
1992,2,27,-9999, 
1992,2,28,-9999, 
1992,2,29,-9999, 
1992,3,1,1.82, 
1992,3,2,14.83, 
1992,3,3,10.21, 
1992,3,4,14.27, 
1992,3,5,6.52, 
1992,3,6,8.36, 
1992,3,7,1.64, 
1992,3,8,0.57, 
1992,3,9,8.16, 
1992,3,10,6.13, 
1992,3,11,19.51, 
1992,3,12,8.98, 
1992,3,13,3.62, 
1992,3,14,22.37, 
1992,3,15,3.25, 
1992,3,16,2.12, 
1992,3,17,19.12, 
1992,3,18,12.79, 
1992,3,19,1.85, 
1992,3,20,-9999, 
1992,3,21,26.78, 
1992,3,22,25.03, 
1992,3,23,0, 
1992,3,24,41.66, 
1992,3,25,8.92, 
1992,3,26,0, 
1992,3,27,0, 
1992,3,28,34.33, 
1992,3,29,13.72, 
1992,3,30,18.65, 
1992,3,31,0.88, 
1992,4,1,4.93, 
1992,4,2,0.49, 
1992,4,3,21.87, 
1992,4,4,8.52, 
1992,4,5,5.36, 
1992,4,6,11.98, 
1992,4,7,1, 
1992,4,8,6.09, 
1992,4,9,11.44, 
1992,4,10,7.73, 
1992,4,11,33.78, 
1992,4,12,0.56, 
1992,4,13,1.8, 
1992,4,14,9.12, 
1992,4,15,10.17, 
1992,4,16,4.78, 
1992,4,17,2.29, 
1992,4,18,1.73, 
1992,4,19,2.22, 
1992,4,20,2.58, 
1992,4,21,2.58, 
1992,4,22,45.28, 
1992,4,23,5.65, 
1992,4,24,27.61, 
1992,4,25,3.02, 
1992,4,26,9.94, 
1992,4,27,6.16, 
1992,4,28,1.76, 
1992,4,29,0.4, 
1992,4,30,0, 
1992,5,1,1.06, 
1992,5,2,22.72, 
1992,5,3,6.66, 
1992,5,4,30.7, 
1992,5,5,9.58, 
1992,5,6,7.98, 
1992,5,7,8.53, 
1992,5,8,0.47, 
1992,5,9,0, 
1992,5,10,0, 
1992,5,11,9.09, 
1992,5,12,2.19, 
1992,5,13,15.52, 
1992,5,14,2.92, 
1992,5,15,0, 
1992,5,16,11.11, 
1992,5,17,2.61, 
1992,5,18,0, 
1992,5,19,10.34, 
1992,5,20,16.25, 
1992,5,21,5.59, 
1992,5,22,3.88, 
1992,5,23,0, 
1992,5,24,3.06, 
1992,5,25,2.85, 
1992,5,26,2.13, 
1992,5,27,0, 
1992,5,28,2.92, 
1992,5,29,0, 
1992,5,30,1.07, 
1992,5,31,2.5, 
1992,6,1,2.11, 
1992,6,2,5.24, 
1992,6,3,9.62, 
1992,6,4,3.39, 
1992,6,5,32.25, 
1992,6,6,0, 
1992,6,7,49.94, 
1992,6,8,1.65, 
1992,6,9,0, 
1992,6,10,14.17, 
1992,6,11,5.17, 
1992,6,12,13.55, 
1992,6,13,0, 
1992,6,14,2.76, 
1992,6,15,10.47, 
1992,6,16,0, 
1992,6,17,3.02, 
1992,6,18,0, 
1992,6,19,0, 
1992,6,20,3.21, 
1992,6,21,0, 
1992,6,22,5.49, 
1992,6,23,0, 
1992,6,24,5.57, 
1992,6,25,6.71, 
1992,6,26,2.1, 
1992,6,27,5.28, 
1992,6,28,5.23, 
1992,6,29,15, 
1992,6,30,0, 
1992,7,1,0, 
1992,7,2,5.08, 
1992,7,3,13.8, 
1992,7,4,8.57, 
1992,7,5,2.32, 
1992,7,6,3.63, 
1992,7,7,19.1, 
1992,7,8,1.95, 
1992,7,9,0, 
1992,7,10,0, 
1992,7,11,0, 
1992,7,12,0, 
1992,7,13,5.43, 
1992,7,14,31.51, 
1992,7,15,48.49, 
1992,7,16,8.14, 
1992,7,17,36.53, 
1992,7,18,0, 
1992,7,19,0, 
1992,7,20,0, 
1992,7,21,0, 
1992,7,22,0, 
1992,7,23,0, 
1992,7,24,0, 
1992,7,25,0, 
1992,7,26,0, 
1992,7,27,0, 
1992,7,28,0, 
1992,7,29,0, 
1992,7,30,0, 
1992,7,31,0, 
1992,8,1,0, 
1992,8,2,2.15, 
1992,8,3,1.41, 
1992,8,4,0, 
1992,8,5,0, 
1992,8,6,0, 
1992,8,7,0, 
1992,8,8,3.66, 
1992,8,9,19.33, 
1992,8,10,0, 
1992,8,11,5.9, 
1992,8,12,13.98, 
1992,8,13,11.47, 
1992,8,14,24.71, 
1992,8,15,3.74, 
1992,8,16,0, 
1992,8,17,9.67, 
1992,8,18,21.72, 
1992,8,19,1.22, 
1992,8,20,14.56, 
1992,8,21,17.1, 
1992,8,22,16.76, 
1992,8,23,1.17, 
1992,8,24,4.15, 
1992,8,25,1.78, 
1992,8,26,0, 
1992,8,27,0, 
1992,8,28,3.62, 
1992,8,29,0, 
1992,8,30,1.6, 
1992,8,31,5.93, 
1992,9,1,19.78, 
1992,9,2,9.4, 
1992,9,3,5.35, 
1992,9,4,6.1, 
1992,9,5,0.72, 
1992,9,6,0, 
1992,9,7,2.04, 
1992,9,8,10.59, 
1992,9,9,0, 
1992,9,10,0, 
1992,9,11,4.32, 
1992,9,12,4.36, 
1992,9,13,3.44, 
1992,9,14,7.97, 
1992,9,15,3.34, 
1992,9,16,11.8, 
1992,9,17,0.87, 
1992,9,18,7.78, 
1992,9,19,13.26, 
1992,9,20,5.59, 
1992,9,21,1, 
1992,9,22,4.94, 
1992,9,23,4.4, 
1992,9,24,10.54, 
1992,9,25,5.11, 
1992,9,26,18.65, 
1992,9,27,7.84, 
1992,9,28,0.62, 
1992,9,29,4.33, 
1992,9,30,1.11, 
1992,10,1,13.24, 
1992,10,2,11.07, 
1992,10,3,22.85, 
1992,10,4,14.1, 
1992,10,5,7.87, 
1992,10,6,1.4, 
1992,10,7,0.42, 
1992,10,8,9.81, 
1992,10,9,1.23, 
1992,10,10,1.58, 
1992,10,11,4.74, 
1992,10,12,7.76, 
1992,10,13,8.8, 
1992,10,14,14.37, 
1992,10,15,6.92, 
1992,10,16,0, 
1992,10,17,1.24, 
1992,10,18,18.19, 
1992,10,19,1.19, 
1992,10,20,8.31, 
1992,10,21,0, 
1992,10,22,2.68, 
1992,10,23,4.81, 
1992,10,24,0.64, 
1992,10,25,7.36, 
1992,10,26,1.25, 
1992,10,27,0, 
1992,10,28,5.74, 
1992,10,29,7.56, 
1992,10,30,16.44, 
1992,10,31,19.82, 
1992,11,1,6.07, 
1992,11,2,1.02, 
1992,11,3,6.37, 
1992,11,4,7.4, 
1992,11,5,14.1, 
1992,11,6,1.63, 
1992,11,7,0.37, 
1992,11,8,0, 
1992,11,9,10.26, 
1992,11,10,14.67, 
1992,11,11,2.77, 
1992,11,12,12, 
1992,11,13,5.04, 
1992,11,14,4.62, 
1992,11,15,1.04, 
1992,11,16,7.17, 
1992,11,17,6.59, 
1992,11,18,13.05, 
1992,11,19,9.08, 
1992,11,20,0, 
1992,11,21,20.23, 
1992,11,22,7.08, 
1992,11,23,9.52, 
1992,11,24,4.5, 
1992,11,25,31.65, 
1992,11,26,3.06, 
1992,11,27,17.25, 
1992,11,28,5.77, 
1992,11,29,4.87, 
1992,11,30,3.37, 
1992,12,1,16.09, 
1992,12,2,9.84, 
1992,12,3,27.56, 
1992,12,4,8.1, 
1992,12,5,0, 
1992,12,6,7.23, 
1992,12,7,9.4, 
1992,12,8,35.68, 
1992,12,9,8.18, 
1992,12,10,7.46, 
1992,12,11,7.04, 
1992,12,12,24.88, 
1992,12,13,13.47, 
1992,12,14,4.64, 
1992,12,15,3.56, 
1992,12,16,18.01, 
1992,12,17,9.05, 
1992,12,18,8.6, 
1992,12,19,12.31, 
1992,12,20,4.72, 
1992,12,21,0.52, 
1992,12,22,1.57, 
1992,12,23,4.91, 
1992,12,24,5.39, 
1992,12,25,0, 
1992,12,26,8.1, 
1992,12,27,2.67, 
1992,12,28,0, 
1992,12,29,0, 
1992,12,30,0, 
1992,12,31,0, 
1993,1,1,21.18, 
1993,1,2,3.4, 
1993,1,3,0.78, 
1993,1,4,0, 
1993,1,5,9.94, 
1993,1,6,25.33, 
1993,1,7,23.94, 
1993,1,8,10.68, 
1993,1,9,2.26, 
1993,1,10,4.59, 
1993,1,11,0, 
1993,1,12,0, 
1993,1,13,1.03, 
1993,1,14,11.61, 
1993,1,15,40.28, 
1993,1,16,2.43, 
1993,1,17,9.63, 
1993,1,18,3.92, 
1993,1,19,39.65, 
1993,1,20,11.9, 
1993,1,21,9.16, 
1993,1,22,3.08, 
1993,1,23,5.08, 
1993,1,24,17.91, 
1993,1,25,42.59, 
1993,1,26,6.54, 
1993,1,27,20.53, 
1993,1,28,1.7, 
1993,1,29,0.62, 
1993,1,30,36.35, 
1993,1,31,27.83, 
1993,2,1,1.14, 
1993,2,2,-9999, 
1993,2,3,-9999, 
1993,2,4,-9999, 
1993,2,5,1.24, 
1993,2,6,11.54, 
1993,2,7,9.73, 
1993,2,8,3.31, 
1993,2,9,5.13, 
1993,2,10,5.99, 
1993,2,11,1.95, 
1993,2,12,2.44, 
1993,2,13,0, 
1993,2,14,0.64, 
1993,2,15,57.34, 
1993,2,16,13.49, 
1993,2,17,0.81, 
1993,2,18,0, 
1993,2,19,0.47, 
1993,2,20,16.96, 
1993,2,21,20.93, 
1993,2,22,7.82, 
1993,2,23,1.72, 
1993,2,24,0.63, 
1993,2,25,-9999, 
1993,2,26,-9999, 
1993,2,27,-9999, 
1993,2,28,-9999, 
1993,3,1,-9999, 
1993,3,2,-9999, 
1993,3,3,-9999, 
1993,3,4,-9999, 
1993,3,5,-9999, 
1993,3,6,7.43, 
1993,3,7,4.69, 
1993,3,8,11.57, 
1993,3,9,6.97, 
1993,3,10,4.84, 
1993,3,11,0, 
1993,3,12,7.16, 
1993,3,13,30.58, 
1993,3,14,5.98, 
1993,3,15,8.61, 
1993,3,16,6.04, 
1993,3,17,11.5, 
1993,3,18,3.63, 
1993,3,19,10.24, 
1993,3,20,6.05, 
1993,3,21,5.31, 
1993,3,22,13.53, 
1993,3,23,7.41, 
1993,3,24,27.89, 
1993,3,25,0.55, 
1993,3,26,2.2, 
1993,3,27,25.73, 
1993,3,28,8.05, 
1993,3,29,0, 
1993,3,30,1.28, 
1993,3,31,41.15, 
1993,4,1,20.18, 
1993,4,2,4.54, 
1993,4,3,3.43, 
1993,4,4,5.26, 
1993,4,5,7.05, 
1993,4,6,7.47, 
1993,4,7,31.77, 
1993,4,8,10.5, 
1993,4,9,8.92, 
1993,4,10,5.2, 
1993,4,11,0.53, 
1993,4,12,2.58, 
1993,4,13,22.8, 
1993,4,14,1.55, 
1993,4,15,3.68, 
1993,4,16,7.65, 
1993,4,17,49.4, 
1993,4,18,0, 
1993,4,19,4.61, 
1993,4,20,4.63, 
1993,4,21,3.25, 
1993,4,22,17.8, 
1993,4,23,0, 
1993,4,24,0, 
1993,4,25,23.41, 
1993,4,26,0.42, 
1993,4,27,36.35, 
1993,4,28,3.37, 
1993,4,29,2.33, 
1993,4,30,21.24, 
1993,5,1,18.21, 
1993,5,2,6.28, 
1993,5,3,0, 
1993,5,4,0, 
1993,5,5,-9999, 
1993,5,6,-9999, 
1993,5,7,0, 
1993,5,8,11.57, 
1993,5,9,14.74, 
1993,5,10,0.94, 
1993,5,11,0, 
1993,5,12,1.51, 
1993,5,13,5.77, 
1993,5,14,6.81, 
1993,5,15,2.52, 
1993,5,16,41.94, 
1993,5,17,0.78, 
1993,5,18,0, 
1993,5,19,0, 
1993,5,20,4.91, 
1993,5,21,0.82, 
1993,5,22,20.79, 
1993,5,23,1.22, 
1993,5,24,2.2, 
1993,5,25,22.58, 
1993,5,26,3.08, 
1993,5,27,4.06, 
1993,5,28,2.63, 
1993,5,29,6.61, 
1993,5,30,0, 
1993,5,31,0, 
1993,6,1,0, 
1993,6,2,12.83, 
1993,6,3,5.54, 
1993,6,4,0, 
1993,6,5,0, 
1993,6,6,16.63, 
1993,6,7,1.04, 
1993,6,8,2.03, 
1993,6,9,7.58, 
1993,6,10,19.01, 
1993,6,11,0, 
1993,6,12,0, 
1993,6,13,0, 
1993,6,14,0, 
1993,6,15,2.08, 
1993,6,16,0, 
1993,6,17,18.23, 
1993,6,18,0, 
1993,6,19,1.21, 
1993,6,20,0, 
1993,6,21,0, 
1993,6,22,0, 
1993,6,23,0, 
1993,6,24,7.16, 
1993,6,25,15.99, 
1993,6,26,3.92, 
1993,6,27,0, 
1993,6,28,0, 
1993,6,29,15.74, 
1993,6,30,17.17, 
1993,7,1,2.02, 
1993,7,2,1.42, 
1993,7,3,26.7, 
1993,7,4,6.76, 
1993,7,5,3.33, 
1993,7,6,2.67, 
1993,7,7,0, 
1993,7,8,0, 
1993,7,9,0, 
1993,7,10,0, 
1993,7,11,0, 
1993,7,12,2.54, 
1993,7,13,29.87, 
1993,7,14,3.51, 
1993,7,15,0, 
1993,7,16,0, 
1993,7,17,0, 
1993,7,18,0, 
1993,7,19,0, 
1993,7,20,7.21, 
1993,7,21,0.95, 
1993,7,22,33.98, 
1993,7,23,1.94, 
1993,7,24,18.27, 
1993,7,25,7.82, 
1993,7,26,2.18, 
1993,7,27,0, 
1993,7,28,1.24, 
1993,7,29,15.64, 
1993,7,30,5.15, 
1993,7,31,41.43, 
1993,8,1,0, 
1993,8,2,0, 
1993,8,3,0, 
1993,8,4,0, 
1993,8,5,0, 
1993,8,6,0, 
1993,8,7,1.25, 
1993,8,8,4.88, 
1993,8,9,0.78, 
1993,8,10,13.62, 
1993,8,11,13.46, 
1993,8,12,6.52, 
1993,8,13,0, 
1993,8,14,0, 
1993,8,15,0, 
1993,8,16,0.83, 
1993,8,17,10.81, 
1993,8,18,11.39, 
1993,8,19,3.75, 
1993,8,20,12.9, 
1993,8,21,4.57, 
1993,8,22,0, 
1993,8,23,2.53, 
1993,8,24,1.46, 
1993,8,25,-9999, 
1993,8,26,3.79, 
1993,8,27,1.53, 
1993,8,28,12.32, 
1993,8,29,14.52, 
1993,8,30,1.18, 
1993,8,31,3.43, 
1993,9,1,2.61, 
1993,9,2,17.18, 
1993,9,3,6.05, 
1993,9,4,1.16, 
1993,9,5,2.81, 
1993,9,6,0.42, 
1993,9,7,0.92, 
1993,9,8,0, 
1993,9,9,16.82, 
1993,9,10,14.65, 
1993,9,11,2.06, 
1993,9,12,4.84, 
1993,9,13,1.95, 
1993,9,14,7.65, 
1993,9,15,2.42, 
1993,9,16,2.16, 
1993,9,17,5.78, 
1993,9,18,0, 
1993,9,19,6.8, 
1993,9,20,0.55, 
1993,9,21,7.76, 
1993,9,22,4.7, 
1993,9,23,7.69, 
1993,9,24,3.18, 
1993,9,25,20.64, 
1993,9,26,3.06, 
1993,9,27,0, 
1993,9,28,0, 
1993,9,29,0, 
1993,9,30,21.07, 
1993,10,1,7.02, 
1993,10,2,2.36, 
1993,10,3,3.79, 
1993,10,4,0.79, 
1993,10,5,0, 
1993,10,6,29.28, 
